No,達成率,値段,商品説明,詳細URL,画像URL
1,1022%,"3,066,250円",大人だけに許されたとろける甘み。ワインの概念が変わるハンガリー産の貴腐ワイン,https://www.makuake.com/project/productx_wine/?from=keywordsearch&keyword=%E3%83%AF%E3%82%A4%E3%83%B3&disp_order=1,https://hayabusa.io/makuake/upload/project/26949/main_26949.jpg?width=252&height=142&quality=95&version=1657083005&format=auto&ttl=31536000&mode=eco
2,152%,"304,100円",100%神戸市産ぶどうで醸す熟成白ワイン！一緒にワインを作るサロンメンバーも募集,https://www.makuake.com/project/kobewinery/?from=keywordsearch&keyword=%E3%83%AF%E3%82%A4%E3%83%B3&disp_order=2,https://hayabusa.io/makuake/upload/project/25188/main_25188.jpg?width=252&height=142&quality=95&version=1650618112&format=auto&ttl=31536000&mode=eco
3,80%,"80,510円",【１２色から選択可能】インドの革職人が手作りするリサイクルレザーワインホルダー,https://www.makuake.com/project/winebottleholder/?from=keywordsearch&keyword=%E3%83%AF%E3%82%A4%E3%83%B3&disp_order=3,https://hayabusa.io/makuake/upload/project/27004/main_27004.png?width=252&height=142&quality=95&version=1657286129&format=auto&ttl=31536000&mode=eco
4,240%,"361,300円",広尾で新体験！お粥×ワインのファビュダインが1周年記念で楽しい新メニュー誕生,https://www.makuake.com/project/fabudine/?from=keywordsearch&keyword=%E3%83%AF%E3%82%A4%E3%83%B3&disp_order=4,https://hayabusa.io/makuake/upload/project/26512/main_26512.png?width=252&height=142&quality=95&version=1655710338&format=auto&ttl=31536000&mode=eco
5,274%,"823,900円",【宿泊施設・喫茶店のある果樹園】果樹オーナーにもなれる！高級希少ぶどうを直送！,https://www.makuake.com/project/ozawa_kajuen/?from=keywordsearch&keyword=%E3%83%AF%E3%82%A4%E3%83%B3&disp_order=5,https://hayabusa.io/makuake/upload/project/25848/main_25848.jpg?width=252&height=142&quality=95&version=1653028361&format=auto&ttl=31536000&mode=eco
6,4%,"42,300円",日本遺産「牛久シャトー」を守るから発展へ！イノベーター育成で新たな付加価値を！！,https://www.makuake.com/project/ushiku-chateau-project/?from=keywordsearch&keyword=%E3%83%AF%E3%82%A4%E3%83%B3&disp_order=6,https://hayabusa.io/makuake/upload/project/27025/main_27025.png?width=252&height=142&quality=95&version=1657275098&format=auto&ttl=31536000&mode=eco
7,426%,"2,133,000円","【完全予約制×中目黒×特別会員募集】""伝説の名店""から継承する幸せなひととき..",https://www.makuake.com/project/scintilla02/?from=keywordsearch&keyword=%E3%83%AF%E3%82%A4%E3%83%B3&disp_order=7,https://hayabusa.io/makuake/upload/project/26523/main_26523.png?width=252&height=142&quality=95&version=1655873354&format=auto&ttl=31536000&mode=eco
8,2543%,"25,433,000円",定額コース会員募集。プライベートバーが併設された『江戸前鮨 たつ也』中目黒に誕生,https://www.makuake.com/project/sushi_tatsuya/?from=keywordsearch&keyword=%E3%83%AF%E3%82%A4%E3%83%B3&disp_order=8,https://hayabusa.io/makuake/upload/project/25790/main_25790.jpg?width=252&height=142&quality=95&version=1652935608&format=auto&ttl=31536000&mode=eco
9,86%,"434,800円",【火星ワイン！？】カナリア諸島発　リゾートワイン発売プロジェクト,https://www.makuake.com/project/mars_wine/?from=keywordsearch&keyword=%E3%83%AF%E3%82%A4%E3%83%B3&disp_order=9,https://hayabusa.io/makuake/upload/project/20769/main_20769.jpg?width=252&height=142&quality=95&version=1638237836&format=auto&ttl=31536000&mode=eco
10,6374%,"1,912,200円",アウトドアでもワインを適温で楽しめる！ワイン専用ステンレスタンブラーcomely,https://www.makuake.com/project/comely/?from=keywordsearch&keyword=%E3%83%AF%E3%82%A4%E3%83%B3&disp_order=10,https://hayabusa.io/makuake/upload/project/24882/main_24882.png?width=252&height=142&quality=95&version=1653271209&format=auto&ttl=31536000&mode=eco
11,38%,"382,000円",胎内高原ワインを届けたい！「ワイン用ブドウ増産」プロジェクト,https://www.makuake.com/project/tainaifp/?from=keywordsearch&keyword=%E3%83%AF%E3%82%A4%E3%83%B3&disp_order=11,https://hayabusa.io/makuake/upload/project/8329/main_8329.png?width=252&height=142&quality=95&version=1583892081&format=auto&ttl=31536000&mode=eco
12,697%,"2,093,110円",飲み残してもOK！ワインの風味をそのままキープ！Etervinワインキーパー,https://www.makuake.com/project/etervin/?from=keywordsearch&keyword=%E3%83%AF%E3%82%A4%E3%83%B3&disp_order=12,https://hayabusa.io/makuake/upload/project/22583/main_22583.png?width=252&height=142&quality=95&version=1643162421&format=auto&ttl=31536000&mode=eco
13,271%,"542,500円",ワインを安心安全に持ち歩く！ワインラバーのために作ったスタイリッシュなバッグ,https://www.makuake.com/project/wine-carry-bag/?from=keywordsearch&keyword=%E3%83%AF%E3%82%A4%E3%83%B3&disp_order=13,https://hayabusa.io/makuake/upload/project/11579/main_11579.png?width=252&height=142&quality=95&version=1601431332&format=auto&ttl=31536000&mode=eco
14,856%,"856,345円",たった1分でワインの風味を変える。EASY SORBO ワイン エアレーター,https://www.makuake.com/project/easysorbo/?from=keywordsearch&keyword=%E3%83%AF%E3%82%A4%E3%83%B3&disp_order=14,https://hayabusa.io/makuake/upload/project/5051/main_5051.jpg?width=252&height=142&quality=95&version=1573195726&format=auto&ttl=31536000&mode=eco
15,450%,"901,000円",5～18℃の温度調整ができるお洒落なワインクーラー「ワインケース one」,https://www.makuake.com/project/winecase-one/?from=keywordsearch&keyword=%E3%83%AF%E3%82%A4%E3%83%B3&disp_order=15,https://hayabusa.io/makuake/upload/project/25191/main_25191.jpg?width=252&height=142&quality=95&version=1653962553&format=auto&ttl=31536000&mode=eco
