No,達成率,値段,商品説明,画像URL
1,10%,"52,800円",ウクライナ発！同じピースのない大人の子供心をくすぐるARつきオシャレ木製パズル,https://hayabusa.io/makuake/upload/project/26897/main_26897.jpg?width=252&height=142&quality=95&version=1657069209&format=auto&ttl=31536000&mode=eco
2,74%,"741,080円",AI×AR×「海への旅」音と映像のソーシャル・エンターテインメント！！,https://hayabusa.io/makuake/upload/project/22894/main_22894.png?width=252&height=142&quality=95&version=1645236009&format=auto&ttl=31536000&mode=eco
3,263%,"2,633,700円",スマホがインスタントカメラに！スキャンしてARも楽しめるPRYNT POCKET,https://hayabusa.io/makuake/upload/project/2793/main_2793.png?width=252&height=142&quality=95&version=1496195822&format=auto&ttl=31536000&mode=eco
4,179%,"179,778円",国民の脳開発プロジェクト！子どもから老人まで脳トレーニング。AR TANGRAM,https://hayabusa.io/makuake/upload/project/19270/main_19270.jpg?width=252&height=142&quality=95&version=1631930417&format=auto&ttl=31536000&mode=eco
5,25747%,"25,747,700円",ARグラスがここまで進化！未来が今あなたの手に届きます。『INMO Air』,https://hayabusa.io/makuake/upload/project/25539/main_25539.jpg?width=252&height=142&quality=95&version=1656554460&format=auto&ttl=31536000&mode=eco
6,414%,"1,244,760円",【組立て＋AR】機械の仕組みが目の前で開かれるUgears STEM LAB,https://hayabusa.io/makuake/upload/project/10426/main_10426.jpg?width=252&height=142&quality=95&version=1607331874&format=auto&ttl=31536000&mode=eco
7,14%,"101,520円",現実とゲームが融合!?　拡張現実スマホシューティングゲーム「AR GUN」,https://hayabusa.io/makuake/upload/project/4030/main_4030.png?width=252&height=142&quality=95&version=1522305593&format=auto&ttl=31536000&mode=eco
8,190%,"1,330,560円",部屋の中に戦闘機！？スマホシューティングゲーム Bluetooth AR Gun,https://hayabusa.io/makuake/upload/project/2623/main_2623.jpg?width=252&height=142&quality=95&version=1491876005&format=auto&ttl=31536000&mode=eco
9,499%,"499,520円",スタンフォード大学とインド工科大学卒業生が最新AR玩具CountとLinkを開発,https://hayabusa.io/makuake/upload/project/6819/main_6819.png?width=252&height=142&quality=95&version=1564538605&format=auto&ttl=31536000&mode=eco
10,374%,"374,180円",幼いうちに遊びの中で多言語に触れ脳を育てて下地を作る！16言語対応AR動物カード,https://hayabusa.io/makuake/upload/project/7331/main_7331.jpg?width=252&height=142&quality=95&version=1575079206&format=auto&ttl=31536000&mode=eco
11,4306%,"4,306,236円",冷感！抗菌！すぐ乾く！”夏のマスク生活 ”を応援したい！！『シルク夏のマスク』,https://hayabusa.io/makuake/upload/project/10668/main_10668.png?width=252&height=142&quality=95&version=1598245468&format=auto&ttl=31536000&mode=eco
12,37%,"1,500,000円",夢の浮上高速走行を実現！みんなで作る待望のNゲージリニア発進プロジェクト,https://hayabusa.io/makuake/upload/project/6413/main_6413.jpg?width=252&height=142&quality=95&version=1565056829&format=auto&ttl=31536000&mode=eco
13,917%,"1,835,940円",完成美に酔いしれる。遊べる3Dウッドパズル新作 サイバーガンWood Trick,https://hayabusa.io/makuake/upload/project/11598/main_11598.jpg?width=252&height=142&quality=95&version=1600826410&format=auto&ttl=31536000&mode=eco
14,781%,"78,128,200円",あなたの部屋を最高のエンタメ空間へ。話題の照明一体型プロジェクターの新モデル登場,https://hayabusa.io/makuake/upload/project/11671/main_11671.png?width=252&height=142&quality=95&version=1601431349&format=auto&ttl=31536000&mode=eco
15,152%,"76,000円",【JAPANESE STYLE 】 2×4 WOOD GUN RACK,https://hayabusa.io/makuake/upload/project/10609/main_10609.png?width=252&height=142&quality=95&version=1595815207&format=auto&ttl=31536000&mode=eco
