No,達成率,値段,商品説明,詳細URL,画像
1,100%,"501,000円",10秒で簡単除菌。スマホ・パソコン・化粧道具の除菌に最適な携帯型UV-C除菌器,https://www.makuake.com/project/dada-3/?from=keywordsearch&keyword=%E3%83%91%E3%82%BD%E3%82%B3%E3%83%B3&disp_order=46,https://hayabusa.io/makuake/upload/project/11163/main_11163.png?width=252&height=142&quality=95&version=1601431220&format=auto&ttl=31536000&mode=eco
2,64%,"96,220円",知らないうちに首肩の運動に？！回転式モニターアーム「NeckrakuStand」,https://www.makuake.com/project/take1tech35/?from=keywordsearch&keyword=%E3%83%91%E3%82%BD%E3%82%B3%E3%83%B3&disp_order=47,https://hayabusa.io/makuake/upload/project/16410/main_16410.jpg?width=252&height=142&quality=95&version=1622426561&format=auto&ttl=31536000&mode=eco
3,3408%,"3,408,100円",旅と出張のすべてを叶えるスーツケース型バックパック「LOOPER」,https://www.makuake.com/project/looper/?from=keywordsearch&keyword=%E3%83%91%E3%82%BD%E3%82%B3%E3%83%B3&disp_order=48,https://hayabusa.io/makuake/upload/project/7251/main_7251.png?width=252&height=142&quality=95&version=1572487241&format=auto&ttl=31536000&mode=eco
4,203%,"611,139円",お札もカードも入る！オシャレで使い易い本革コインケース「ランチウォレット」誕生！,https://www.makuake.com/project/lilyleather/?from=keywordsearch&keyword=%E3%83%91%E3%82%BD%E3%82%B3%E3%83%B3&disp_order=49,https://hayabusa.io/makuake/upload/project/6337/main_6337.jpg?width=252&height=142&quality=95&version=1574153466&format=auto&ttl=31536000&mode=eco
5,79%,"159,816円",ポーチ専門メーカーが作る旅に便利なポーチ達,https://www.makuake.com/project/citypassport3/?from=keywordsearch&keyword=%E3%83%91%E3%82%BD%E3%82%B3%E3%83%B3&disp_order=50,https://hayabusa.io/makuake/upload/project/22318/main_22318.png?width=252&height=142&quality=95&version=1643594494&format=auto&ttl=31536000&mode=eco
6,6495%,"19,486,400円",多様な機種と互換可能、トリプルモニターで仕事効率化をUP！「Trio」,https://www.makuake.com/project/trio/?from=keywordsearch&keyword=%E3%83%91%E3%82%BD%E3%82%B3%E3%83%B3&disp_order=51,https://hayabusa.io/makuake/upload/project/9853/main_9853.jpg?width=252&height=142&quality=95&version=1593482485&format=auto&ttl=31536000&mode=eco
7,415%,"2,075,000円",多様化するビジネスシーンをサポートするクールな道具箱KONSTELLA先行販売,https://www.makuake.com/project/konstella/?from=keywordsearch&keyword=%E3%83%91%E3%82%BD%E3%82%B3%E3%83%B3&disp_order=52,https://hayabusa.io/makuake/upload/project/1757/main_1757.jpg?width=252&height=142&quality=95&version=1492599183&format=auto&ttl=31536000&mode=eco
8,1367%,"2,734,760円",ママのお出掛けバッグをこれ１つに！自由に分解できる画期的4WAYマザーズバッグ,https://www.makuake.com/project/girlsbag2/?from=keywordsearch&keyword=%E3%83%91%E3%82%BD%E3%82%B3%E3%83%B3&disp_order=53,https://hayabusa.io/makuake/upload/project/23821/main_23821.png?width=252&height=142&quality=95&version=1648692220&format=auto&ttl=31536000&mode=eco
9,116%,"116,660円",WOHLBEGE 【情報を守るセキュルティビジネスバッグ】情報漏洩対策 特化型,https://www.makuake.com/project/wohlbege_5/?from=keywordsearch&keyword=%E3%83%91%E3%82%BD%E3%82%B3%E3%83%B3&disp_order=54,https://hayabusa.io/makuake/upload/project/21981/main_21981.jpg?width=252&height=142&quality=95&version=1641175203&format=auto&ttl=31536000&mode=eco
10,72%,"109,270円",バックを開けるとすぐ作業スペース完成！取り外し可能な冷却ファンつきブリーフケース,https://www.makuake.com/project/smartfork/?from=keywordsearch&keyword=%E3%83%91%E3%82%BD%E3%82%B3%E3%83%B3&disp_order=55,https://hayabusa.io/makuake/upload/project/15462/main_15462.jpg?width=252&height=142&quality=95&version=1619748085&format=auto&ttl=31536000&mode=eco
