No,達成率,値段,商品説明,詳細URL,画像
1,958%,"1,437,480円",手洗いなしで泥汚れが落ちる！ユニフォーム・シューズ・ペット衣類の洗濯に！洗剤付き,https://www.makuake.com/project/pole/?from=keywordsearch&keyword=%E6%B4%97%E5%89%A4&disp_order=1,https://hayabusa.io/makuake/upload/project/26469/main_26469.jpg?width=252&height=142&quality=95&version=1655682964&format=auto&ttl=31536000&mode=eco
2,36%,"109,896円",運動後の衣類、生乾き、雑菌などニオイが気になるお洗濯に抗菌防臭剤入洗剤,https://www.makuake.com/project/antibacter/?from=keywordsearch&keyword=%E6%B4%97%E5%89%A4&disp_order=2,https://hayabusa.io/makuake/upload/project/25997/main_25997.png?width=252&height=142&quality=95&version=1653872224&format=auto&ttl=31536000&mode=eco
3,213%,"639,000円",洗剤のいらないオゾン洗濯機。3つのパワーで洗剤無しで汚れ・においを除去！,https://www.makuake.com/project/belleclair08/?from=keywordsearch&keyword=%E6%B4%97%E5%89%A4&disp_order=3,https://hayabusa.io/makuake/upload/project/8334/main_8334.jpg?width=252&height=142&quality=95&version=1580436066&format=auto&ttl=31536000&mode=eco
4,604%,"604,770円",抗菌作用と優れた洗浄機能を持ったプレミアムな洗剤「DETERSIENNE」,https://www.makuake.com/project/olivegiken/?from=keywordsearch&keyword=%E6%B4%97%E5%89%A4&disp_order=4,https://hayabusa.io/makuake/upload/project/14567/main_14567.png?width=252&height=142&quality=95&version=1614478056&format=auto&ttl=31536000&mode=eco
5,87%,"879,400円",洗うたび着心地が育っていく、こだわりのサステナブル洗剤｜Mash Fabric,https://www.makuake.com/project/sekken_hyakka/?from=keywordsearch&keyword=%E6%B4%97%E5%89%A4&disp_order=5,https://hayabusa.io/makuake/upload/project/15709/main_15709.jpg?width=252&height=142&quality=95&version=1619748136&format=auto&ttl=31536000&mode=eco
6,437%,"1,311,920円",優しく洗い、ほのかに香る洗剤「PROUDMEN.×pasha basha」新登場,https://www.makuake.com/project/pashabasha/?from=keywordsearch&keyword=%E6%B4%97%E5%89%A4&disp_order=6,https://hayabusa.io/makuake/upload/project/9233/main_9233.png?width=252&height=142&quality=95&version=1586829746&format=auto&ttl=31536000&mode=eco
7,187%,"375,000円",あなたの暮らしを変える！スマートタブレット洗濯洗剤「HOTAPAホワイト」誕生！,https://www.makuake.com/project/hotapa/?from=keywordsearch&keyword=%E6%B4%97%E5%89%A4&disp_order=7,https://hayabusa.io/makuake/upload/project/2666/main_2666.png?width=252&height=142&quality=95&version=1492995608&format=auto&ttl=31536000&mode=eco
8,215%,"2,156,500円",クリーニングのプロが作ったホームデタージェント　これが私の欲しかった洗剤＆柔軟剤,https://www.makuake.com/project/embaumer/?from=keywordsearch&keyword=%E6%B4%97%E5%89%A4&disp_order=8,https://hayabusa.io/makuake/upload/project/20414/main_20414.png?width=252&height=142&quality=95&version=1637978405&format=auto&ttl=31536000&mode=eco
9,487%,"731,000円",すっきり洗浄！フランスから上陸した天然由来成分の強力洗剤「 シャダズル」,https://www.makuake.com/project/shadazzle/?from=keywordsearch&keyword=%E6%B4%97%E5%89%A4&disp_order=9,https://hayabusa.io/makuake/upload/project/14740/main_14740.jpg?width=252&height=142&quality=95&version=1616896808&format=auto&ttl=31536000&mode=eco
10,539%,"1,618,254円",洗剤と水が同時に出る?!洗い物を楽にする節水シャワーヘッド「Soap Tap」,https://www.makuake.com/project/take1tech48/?from=keywordsearch&keyword=%E6%B4%97%E5%89%A4&disp_order=10,https://hayabusa.io/makuake/upload/project/20276/main_20276.jpg?width=252&height=142&quality=95&version=1636336808&format=auto&ttl=31536000&mode=eco
11,24%,"68,720円",ママの声から未来の子どもや地球環境をテーマに作った家庭用洗剤「Araunger」,https://www.makuake.com/project/araunger/?from=keywordsearch&keyword=%E6%B4%97%E5%89%A4&disp_order=11,https://hayabusa.io/makuake/upload/project/15251/main_15251.png?width=252&height=142&quality=95&version=1622772002&format=auto&ttl=31536000&mode=eco
12,413%,"413,432円",頑固な油汚れを落とせる食品添加物で出来た洗剤【キング・オブ・シェル】,https://www.makuake.com/project/kingofshell/?from=keywordsearch&keyword=%E6%B4%97%E5%89%A4&disp_order=12,https://hayabusa.io/makuake/upload/project/12799/main_12799.png?width=252&height=142&quality=95&version=1607824808&format=auto&ttl=31536000&mode=eco
13,172%,"864,800円",ひびのない鍋で洗剤が染み込まない！食材本来の味を引き出してくれるセラミック鍋！,https://www.makuake.com/project/spms/?from=keywordsearch&keyword=%E6%B4%97%E5%89%A4&disp_order=13,https://hayabusa.io/makuake/upload/project/11377/main_11377.jpg?width=252&height=142&quality=95&version=1601431278&format=auto&ttl=31536000&mode=eco
14,236%,"355,000円",スペイン発！手肌に優しい洗剤が日本に！【100%天然原料のマルチクリーナー】,https://www.makuake.com/project/cleanerall/?from=keywordsearch&keyword=%E6%B4%97%E5%89%A4&disp_order=14,https://hayabusa.io/makuake/upload/project/9280/main_9280.png?width=252&height=142&quality=95&version=1591581895&format=auto&ttl=31536000&mode=eco
15,123%,"616,672円",自宅でクリーニング！ 衣類を清潔に保つダウンジャケット・機能性アウター専用洗剤,https://www.makuake.com/project/daily-cleaners/?from=keywordsearch&keyword=%E6%B4%97%E5%89%A4&disp_order=15,https://hayabusa.io/makuake/upload/project/8411/main_8411.jpg?width=252&height=142&quality=95&version=1614321155&format=auto&ttl=31536000&mode=eco
