No,達成率,値段,商品説明,画像URL
1,420%,"420,000円",「やさしい」ってどんな色？ アート思考を育む ボードゲーム【といろ美術館】,https://hayabusa.io/makuake/upload/project/26740/main_26740.jpg?width=252&height=142&quality=95&version=1656651349&format=auto&ttl=31536000&mode=eco
2,169%,"338,780円",ボードゲーム界激震！スリル全開パニックホラーゲーム完成！【ゴーストパニック】,https://hayabusa.io/makuake/upload/project/26515/main_26515.jpg?width=252&height=142&quality=95&version=1656406095&format=auto&ttl=31536000&mode=eco
3,0%,0円,石膏ボードに取付可！棚板固定、 天然木と金属で壁を彩るウォールシェルフ,https://hayabusa.io/makuake/upload/project/26142/main_26142.jpg?width=252&height=142&quality=95&version=1654068122&format=auto&ttl=31536000&mode=eco
4,2762%,"2,762,000円",【全米熱狂】家族や友人との絆が深まる多機能ボードゲームテーブルが日本初上陸,https://hayabusa.io/makuake/upload/project/26879/main_26879.png?width=252&height=142&quality=95&version=1656809942&format=auto&ttl=31536000&mode=eco
5,5%,"50,170円",【デッキ構築×特殊能力】AI vs人間の頭脳戦！ボードゲーム『ラサ：4つの正義』,https://hayabusa.io/makuake/upload/project/26755/main_26755.png?width=252&height=142&quality=95&version=1656563636&format=auto&ttl=31536000&mode=eco
6,31%,"630,000円",4in1デスクボード！UV除菌・姿勢・整理・効率改善がこれ1つ｜キングジム,https://hayabusa.io/makuake/upload/project/26889/main_26889.jpg?width=252&height=142&quality=95&version=1656900131&format=auto&ttl=31536000&mode=eco
7,5%,"56,000円",協力型デッキ構築ボードゲーム「星貫砲コスモレイ」宇宙を舞台に必殺のビームを放て！,https://hayabusa.io/makuake/upload/project/26756/main_26756.jpg?width=252&height=142&quality=95&version=1656563636&format=auto&ttl=31536000&mode=eco
8,12%,"38,500円",【ボードゲーム】環境教育ボードゲームを全世界に広めたい！,https://hayabusa.io/makuake/upload/project/23289/main_23289.png?width=252&height=142&quality=95&version=1646186412&format=auto&ttl=31536000&mode=eco
9,221%,"221,350円",ボード面を替えられる！！　新感覚のホワイトボード「P-change」,https://hayabusa.io/makuake/upload/project/7865/main_7865.jpg?width=252&height=142&quality=95&version=1575079286&format=auto&ttl=31536000&mode=eco
10,329%,"658,000円",スケートボードがスライドでグングン進む！レジャーにおすすめ3Dスライドボード,https://hayabusa.io/makuake/upload/project/15296/main_15296.png?width=252&height=142&quality=95&version=1619748042&format=auto&ttl=31536000&mode=eco
11,1675%,"5,026,660円",ペンと持ち歩ける！ノート型ホワイトボード【バタフライボード ver. 2.2】,https://hayabusa.io/makuake/upload/project/4413/main_4413.png?width=252&height=142&quality=95&version=1537261334&format=auto&ttl=31536000&mode=eco
12,3566%,"10,698,156円",A3サイズ！軽さを極めたポータブル・ホワイトボード【バタフライボードProA3】,https://hayabusa.io/makuake/upload/project/5421/main_5421.png?width=252&height=142&quality=95&version=1558672651&format=auto&ttl=31536000&mode=eco
13,4946%,"14,840,528円",持ち歩ける！打合せに便利なA4・A5ノート型ホワイトボード【バタフライボード2】,https://hayabusa.io/makuake/upload/project/2736/main_2736.png?width=252&height=142&quality=95&version=1504242711&format=auto&ttl=31536000&mode=eco
14,478%,"14,349,000円",【TCGシミュレーター】ミレニアムブレード　日本語版【ボードゲーム】,https://hayabusa.io/makuake/upload/project/9882/main_9882.png?width=252&height=142&quality=95&version=1593482491&format=auto&ttl=31536000&mode=eco
15,855%,"2,771,496円",ButterflyBoard：デジタル時代のフリースタイル・ホワイトボード,https://hayabusa.io/makuake/upload/project/753/main_753.jpg?width=252&height=142&quality=95&version=1447037657&format=auto&ttl=31536000&mode=eco
