No,達成率,値段,商品説明,詳細URL,画像URL
1,130%,"391,200円",多彩な色をもつ宝石 ベリル の世界　宝石の街 甲府の職人が創るジュエリー,https://www.makuake.com/project/kodama-jewelry6/?from=keywordsearch&keyword=%E5%AE%9D%E7%9F%B3&disp_order=1,https://hayabusa.io/makuake/upload/project/26961/main_26961.png?width=252&height=142&quality=95&version=1657270808&format=auto&ttl=31536000&mode=eco
2,105%,"316,750円",【第1弾】本物の宝石パウダー※配合　天然由来成分だけで作り上げた宝石のバスソルト,https://www.makuake.com/project/kraach/?from=keywordsearch&keyword=%E5%AE%9D%E7%9F%B3&disp_order=2,https://hayabusa.io/makuake/upload/project/25835/main_25835.png?width=252&height=142&quality=95&version=1657110294&format=auto&ttl=31536000&mode=eco
3,185%,"278,327円",【第17弾】稀少な宝石達を集めませんか？,https://www.makuake.com/project/japanstyle17/?from=keywordsearch&keyword=%E5%AE%9D%E7%9F%B3&disp_order=3,https://hayabusa.io/makuake/upload/project/26884/main_26884.jpg?width=252&height=142&quality=95&version=1656749383&format=auto&ttl=31536000&mode=eco
4,0%,0円,ニュアンスブラウンに輝く大地の宝石『スモーキークォーツ』ジュエリー/アクセサリー,https://www.makuake.com/project/smokyquartz/?from=keywordsearch&keyword=%E5%AE%9D%E7%9F%B3&disp_order=4,https://hayabusa.io/makuake/upload/project/26513/main_26513.jpg?width=252&height=142&quality=95&version=1656557280&format=auto&ttl=31536000&mode=eco
5,0%,0円,サファイアを贅沢に使用。ファンシーカラーの宝石が彩るフラワージュエリーリング,https://www.makuake.com/project/1g_2/?from=keywordsearch&keyword=%E5%AE%9D%E7%9F%B3&disp_order=5,https://hayabusa.io/makuake/upload/project/27075/main_27075.png?width=252&height=142&quality=95&version=1657616728&format=auto&ttl=31536000&mode=eco
6,61%,"67,200円",【第2弾】万華鏡のごとく光が舞う宝石『オーストラリアオパール』ジュエリー,https://www.makuake.com/project/australia_opal2/?from=keywordsearch&keyword=%E5%AE%9D%E7%9F%B3&disp_order=6,https://hayabusa.io/makuake/upload/project/26828/main_26828.jpg?width=252&height=142&quality=95&version=1656925402&format=auto&ttl=31536000&mode=eco
7,77%,"85,000円",シックに輝く！美しさと知性の宝石『ロンドンブルートパーズ』のジュエリー,https://www.makuake.com/project/london_blue_topaz/?from=keywordsearch&keyword=%E5%AE%9D%E7%9F%B3&disp_order=7,https://hayabusa.io/makuake/upload/project/26714/main_26714.png?width=252&height=142&quality=95&version=1656406833&format=auto&ttl=31536000&mode=eco
8,279%,"307,000円",ダイヤモンドを超える輝き！？虹色に煌めく希少石『スフェーン』のジュエリー/宝石,https://www.makuake.com/project/sphene/?from=keywordsearch&keyword=%E5%AE%9D%E7%9F%B3&disp_order=8,https://hayabusa.io/makuake/upload/project/26560/main_26560.jpg?width=252&height=142&quality=95&version=1656061036&format=auto&ttl=31536000&mode=eco
9,313%,"470,800円",【自然の美しさが輝く】宝石の街 インドのジャイプールで作る天然石ジュエリー,https://www.makuake.com/project/candy_ring/?from=keywordsearch&keyword=%E5%AE%9D%E7%9F%B3&disp_order=9,https://hayabusa.io/makuake/upload/project/26265/main_26265.jpg?width=252&height=142&quality=95&version=1654823411&format=auto&ttl=31536000&mode=eco
10,11%,"55,000円",【宝石の埋め込まれた宝石】 ジュエリーショップ会員募集,https://www.makuake.com/project/jewelryhoney/?from=keywordsearch&keyword=%E5%AE%9D%E7%9F%B3&disp_order=10,https://hayabusa.io/makuake/upload/project/17603/main_17603.jpg?width=252&height=142&quality=95&version=1630375205&format=auto&ttl=31536000&mode=eco
11,0%,0円,天然宝石万華鏡,https://www.makuake.com/project/jewelryhanajima/?from=keywordsearch&keyword=%E5%AE%9D%E7%9F%B3&disp_order=11,https://hayabusa.io/makuake/upload/project/9290/main_9290.png?width=252&height=142&quality=95&version=1590804017&format=auto&ttl=31536000&mode=eco
12,385%,"770,000円",「緑の宝石」をお手頃価格で！爽やかなミントグリーンの人工宝石ジュエリー,https://www.makuake.com/project/mintgreen/?from=keywordsearch&keyword=%E5%AE%9D%E7%9F%B3&disp_order=12,https://hayabusa.io/makuake/upload/project/25676/main_25676.jpg?width=252&height=142&quality=95&version=1656554499&format=auto&ttl=31536000&mode=eco
13,107%,"1,075,880円",魔法をかけた宝石！マーキュリートパーズジュエリー,https://www.makuake.com/project/lavex04/?from=keywordsearch&keyword=%E5%AE%9D%E7%9F%B3&disp_order=13,https://hayabusa.io/makuake/upload/project/22272/main_22272.png?width=252&height=142&quality=95&version=1643594485&format=auto&ttl=31536000&mode=eco
14,510%,"1,530,800円",「KAKERAnoHIKARI」欠けて処分されていた宝石を再利用し宝石の魅力を。,https://www.makuake.com/project/kakeranohikari03/?from=keywordsearch&keyword=%E5%AE%9D%E7%9F%B3&disp_order=14,https://hayabusa.io/makuake/upload/project/5025/main_5025.png?width=252&height=142&quality=95&version=1543024805&format=auto&ttl=31536000&mode=eco
15,436%,"872,000円",格安でお楽しみ頂ける高品質宝石・初心者向け宝石ルースセットを広めたい,https://www.makuake.com/project/jewelclimb/?from=keywordsearch&keyword=%E5%AE%9D%E7%9F%B3&disp_order=15,https://hayabusa.io/makuake/upload/project/8418/main_8418.png?width=252&height=142&quality=95&version=1581040805&format=auto&ttl=31536000&mode=eco
