No,達成率,値段,商品説明,詳細URL,画像
1,18%,"56,320円",スリムで防水、電車内で邪魔にならない本革ダレスリュック,https://www.makuake.com/project/youtabag/?from=keywordsearch&keyword=%E9%9B%BB%E8%BB%8A&disp_order=1,https://hayabusa.io/makuake/upload/project/12127/main_12127.jpg?width=252&height=142&quality=95&version=1602813615&format=auto&ttl=31536000&mode=eco
2,2%,"2,000円",電車内の犯罪から子どもを守りたい！ 子ども見守り缶バッジ,https://www.makuake.com/project/tai-mimamori/?from=keywordsearch&keyword=%E9%9B%BB%E8%BB%8A&disp_order=2,https://hayabusa.io/makuake/upload/project/4910/main_4910.png?width=252&height=142&quality=95&version=1540951231&format=auto&ttl=31536000&mode=eco
3,529%,"529,440円",満員電車もちょっとの外出も手ぶらで！ ミニマリストの「超コンパクトボディバッグ」,https://www.makuake.com/project/newbringbag/?from=keywordsearch&keyword=%E9%9B%BB%E8%BB%8A&disp_order=3,https://hayabusa.io/makuake/upload/project/18153/main_18153.jpg?width=252&height=142&quality=95&version=1627697071&format=auto&ttl=31536000&mode=eco
4,1290%,"2,580,600円",一瞬で肩掛けに！電車でもカフェでも邪魔になりにくいバックパック：SIGOSOTO,https://www.makuake.com/project/sigosoto-2/?from=keywordsearch&keyword=%E9%9B%BB%E8%BB%8A&disp_order=4,https://hayabusa.io/makuake/upload/project/10758/main_10758.png?width=252&height=142&quality=95&version=1617849690&format=auto&ttl=31536000&mode=eco
5,738%,"3,691,641円",メンテナンスフリーで軽快移動。満員電車から脱出してオシャレ通勤,https://www.makuake.com/project/coozy/?from=keywordsearch&keyword=%E9%9B%BB%E8%BB%8A&disp_order=5,https://hayabusa.io/makuake/upload/project/10364/main_10364.png?width=252&height=142&quality=95&version=1604300508&format=auto&ttl=31536000&mode=eco
6,379%,"2,279,000円",土佐の高知の路面電車。奇跡を後世に！ダイヤモンドクロッシングとトリプル・クロス,https://www.makuake.com/project/tosaden/?from=keywordsearch&keyword=%E9%9B%BB%E8%BB%8A&disp_order=6,https://hayabusa.io/makuake/upload/project/5279/main_5279.jpg?width=252&height=142&quality=95&version=1544234408&format=auto&ttl=31536000&mode=eco
7,141%,"709,600円","電車の中でも ""手ぶらで"" スマホ&タブレット。機能性リュック「Rollory」",https://www.makuake.com/project/rollory/?from=keywordsearch&keyword=%E9%9B%BB%E8%BB%8A&disp_order=7,https://hayabusa.io/makuake/upload/project/2747/main_2747.png?width=252&height=142&quality=95&version=1507033164&format=auto&ttl=31536000&mode=eco
8,1216%,"3,650,426円",3秒で水滴拭き取り。電車内や屋内でも長傘さらさら casara ！,https://www.makuake.com/project/casara/?from=keywordsearch&keyword=%E9%9B%BB%E8%BB%8A&disp_order=8,https://hayabusa.io/makuake/upload/project/17884/main_17884.png?width=252&height=142&quality=95&version=1627610422&format=auto&ttl=31536000&mode=eco
9,564%,"1,128,600円",【特許出願中】満員電車で嫌われるリュックのイライラを解決[シゴソト],https://www.makuake.com/project/sigosoto/?from=keywordsearch&keyword=%E9%9B%BB%E8%BB%8A&disp_order=9,https://hayabusa.io/makuake/upload/project/8049/main_8049.png?width=252&height=142&quality=95&version=1618465030&format=auto&ttl=31536000&mode=eco
10,368%,"1,842,950円",【満員電車でも楽々！】ビジネスマンをストレスから解放する！3wayビジネスバッグ,https://www.makuake.com/project/baistone/?from=keywordsearch&keyword=%E9%9B%BB%E8%BB%8A&disp_order=10,https://hayabusa.io/makuake/upload/project/7995/main_7995.png?width=252&height=142&quality=95&version=1577757721&format=auto&ttl=31536000&mode=eco
11,4202%,"8,405,840円",満員電車もちょっとしたお出かけも手ぶらで！ A4サイズでお洒落なボディーバッグ！,https://www.makuake.com/project/venco/?from=keywordsearch&keyword=%E9%9B%BB%E8%BB%8A&disp_order=11,https://hayabusa.io/makuake/upload/project/4929/main_4929.png?width=252&height=142&quality=95&version=1557466490&format=auto&ttl=31536000&mode=eco
12,2370%,"7,111,440円",3way仕様で雪山から初夏の電車内まで快適にするOROSのGEMINIジャケット,https://www.makuake.com/project/gemini_jacket/?from=keywordsearch&keyword=%E9%9B%BB%E8%BB%8A&disp_order=12,https://hayabusa.io/makuake/upload/project/15914/main_15914.png?width=252&height=142&quality=95&version=1636354740&format=auto&ttl=31536000&mode=eco
13,418%,"2,091,500円",満員電車も問題なし！薄さ37ミリのバックパックなら、もはや体の一部です,https://www.makuake.com/project/invisible-backpack/?from=keywordsearch&keyword=%E9%9B%BB%E8%BB%8A&disp_order=13,https://hayabusa.io/makuake/upload/project/13440/main_13440.png?width=252&height=142&quality=95&version=1612058447&format=auto&ttl=31536000&mode=eco
14,637%,"637,250円",電車でビール、会社でノンアルを自由に飲みたい！見た目コーヒー。お酒好き必見商品。,https://www.makuake.com/project/dokodemo-beer/?from=keywordsearch&keyword=%E9%9B%BB%E8%BB%8A&disp_order=14,https://hayabusa.io/makuake/upload/project/9107/main_9107.png?width=252&height=142&quality=95&version=1594714507&format=auto&ttl=31536000&mode=eco
15,1033%,"3,101,700円",人混みや満員電車でも安心！防犯ジッパー付2WAYバックパック「グロースピーク」,https://www.makuake.com/project/growth-peak/?from=keywordsearch&keyword=%E9%9B%BB%E8%BB%8A&disp_order=15,https://hayabusa.io/makuake/upload/project/5542/main_5542.png?width=252&height=142&quality=95&version=1551319238&format=auto&ttl=31536000&mode=eco
