No,達成率,値段,商品説明,詳細URL,画像
1,19%,"192,000円",綺麗なお部屋でSTAY HOME！高性能空気清浄機「TANK」,https://www.makuake.com/project/tank/?from=keywordsearch&keyword=%E7%B6%BA%E9%BA%97&disp_order=16,https://hayabusa.io/makuake/upload/project/10396/main_10396.jpg?width=252&height=142&quality=95&version=1596160860&format=auto&ttl=31536000&mode=eco
2,11%,"114,480円",「不老フード」との新しい出会いから日本の女性をいつまでも綺麗で元気にしたい！,https://www.makuake.com/project/yamaninjin/?from=keywordsearch&keyword=%E7%B6%BA%E9%BA%97&disp_order=17,https://hayabusa.io/makuake/upload/project/474/main_474.jpg?width=252&height=142&quality=95&version=1416555140&format=auto&ttl=31536000&mode=eco
3,1159%,"3,477,870円",プリーツの綺麗が続く匠の技ー２－ゆったりだけど細見えフィット「ウェーブデニム」,https://www.makuake.com/project/ozakipleat02/?from=keywordsearch&keyword=%E7%B6%BA%E9%BA%97&disp_order=18,https://hayabusa.io/makuake/upload/project/22811/main_22811.jpg?width=252&height=142&quality=95&version=1644372010&format=auto&ttl=31536000&mode=eco
4,1128%,"1,693,020円",【綺麗が続く】シミ・汚れをブロック！特殊コートのウォルナットまな板＆包丁セット,https://www.makuake.com/project/landscape_walnut/?from=keywordsearch&keyword=%E7%B6%BA%E9%BA%97&disp_order=19,https://hayabusa.io/makuake/upload/project/16836/main_16836.jpg?width=252&height=142&quality=95&version=1625018477&format=auto&ttl=31536000&mode=eco
5,7%,"212,000円",【エコで清潔】植物由来の発泡クロスで、家じゅうスッキリ綺麗に。「クロステコ」,https://www.makuake.com/project/plasteco/?from=keywordsearch&keyword=%E7%B6%BA%E9%BA%97&disp_order=20,https://hayabusa.io/makuake/upload/project/14577/main_14577.png?width=252&height=142&quality=95&version=1614478119&format=auto&ttl=31536000&mode=eco
6,1382%,"4,146,085円",【爪は割らずに切る！】ヤスリがけがいらないくらい綺麗に仕上がる爪切りニッパー,https://www.makuake.com/project/craftstore7/?from=keywordsearch&keyword=%E7%B6%BA%E9%BA%97&disp_order=21,https://hayabusa.io/makuake/upload/project/13750/main_13750.jpg?width=252&height=142&quality=95&version=1612058529&format=auto&ttl=31536000&mode=eco
7,711%,"711,216円",ペットボトル大の空気清浄機！クルマ・オフィス・カフェのパーソナルエリアを綺麗に！,https://www.makuake.com/project/tensyodo/?from=keywordsearch&keyword=%E7%B6%BA%E9%BA%97&disp_order=22,https://hayabusa.io/makuake/upload/project/12277/main_12277.png?width=252&height=142&quality=95&version=1604109737&format=auto&ttl=31536000&mode=eco
8,6007%,"6,007,501円",掃く・拭くを一度で解決！面倒なお掃除が「Hafuki」で簡単綺麗に。,https://www.makuake.com/project/hafuki/?from=keywordsearch&keyword=%E7%B6%BA%E9%BA%97&disp_order=23,https://hayabusa.io/makuake/upload/project/11368/main_11368.jpg?width=252&height=142&quality=95&version=1600135206&format=auto&ttl=31536000&mode=eco
9,2569%,"2,569,170円",壁に貼るだけで24時間365日ノンストップで空気を綺麗に “AIR WALL”,https://www.makuake.com/project/air-wall/?from=keywordsearch&keyword=%E7%B6%BA%E9%BA%97&disp_order=24,https://hayabusa.io/makuake/upload/project/10144/main_10144.png?width=252&height=142&quality=95&version=1593482602&format=auto&ttl=31536000&mode=eco
10,60%,"602,300円",太陽光を再現！　植物や魚、珊瑚、爬虫類を綺麗にする極小ＬＥＤ・マメミニライト！！,https://www.makuake.com/project/mamedesign/?from=keywordsearch&keyword=%E7%B6%BA%E9%BA%97&disp_order=25,https://hayabusa.io/makuake/upload/project/3853/main_3853.jpg?width=252&height=142&quality=95&version=1521775734&format=auto&ttl=31536000&mode=eco
11,647%,"1,941,720円",匠の技 第三弾。 後ろ姿をいつでも綺麗に。「見返りプリーツデニムシャツ」,https://www.makuake.com/project/ozakipleat03/?from=keywordsearch&keyword=%E7%B6%BA%E9%BA%97&disp_order=26,https://hayabusa.io/makuake/upload/project/23994/main_23994.jpg?width=252&height=142&quality=95&version=1648692259&format=auto&ttl=31536000&mode=eco
12,1984%,"1,984,840円",肩・首・背中のこり！バストも綺麗にサポート！体メンテのプロ開発インナー,https://www.makuake.com/project/support_inner/?from=keywordsearch&keyword=%E7%B6%BA%E9%BA%97&disp_order=27,https://hayabusa.io/makuake/upload/project/23199/main_23199.png?width=252&height=142&quality=95&version=1648692030&format=auto&ttl=31536000&mode=eco
13,350%,"3,504,140円",カメラの前で気付いた。綺麗に映りたいを叶える「魅せる肌」のBB美容液【TooB】,https://www.makuake.com/project/toob/?from=keywordsearch&keyword=%E7%B6%BA%E9%BA%97&disp_order=28,https://hayabusa.io/makuake/upload/project/22839/main_22839.png?width=252&height=142&quality=95&version=1646013673&format=auto&ttl=31536000&mode=eco
14,1298%,"1,298,500円",雨の日も綺麗めカジュアル【GORE-TEX＆VIBRAM】日本製マドラスシューズ,https://www.makuake.com/project/madras-oguchi01/?from=keywordsearch&keyword=%E7%B6%BA%E9%BA%97&disp_order=29,https://hayabusa.io/makuake/upload/project/20731/main_20731.jpg?width=252&height=142&quality=95&version=1638756008&format=auto&ttl=31536000&mode=eco
15,34%,"103,000円",Catch＆Eat！沖縄の綺麗な海で船釣り！今年はもちろん来年以降も楽しめる！,https://www.makuake.com/project/bsyokuterrace/?from=keywordsearch&keyword=%E7%B6%BA%E9%BA%97&disp_order=30,https://hayabusa.io/makuake/upload/project/20121/main_20121.png?width=252&height=142&quality=95&version=1635559236&format=auto&ttl=31536000&mode=eco
