No,達成率,値段,商品説明,詳細URL,画像URL
1,71%,"142,000円",飛騨高山を盛り上げる新名物！「さるぼぼアイス」を作りたい！,https://www.makuake.com/project/sarubobo-ice/?from=keywordsearch&keyword=%E3%82%A2%E3%82%A4%E3%82%B9&disp_order=1,https://hayabusa.io/makuake/upload/project/26748/main_26748.png?width=252&height=142&quality=95&version=1656587084&format=auto&ttl=31536000&mode=eco
2,1629%,"4,074,336円",【220個限定】大人の腕元にふさわしいアイスブルーのラグジュアリーウォッチ,https://www.makuake.com/project/matelia3/?from=keywordsearch&keyword=%E3%82%A2%E3%82%A4%E3%82%B9&disp_order=2,https://hayabusa.io/makuake/upload/project/26761/main_26761.jpg?width=252&height=142&quality=95&version=1656471729&format=auto&ttl=31536000&mode=eco
3,1010%,"1,010,380円",【氷出しでじっくり抽出】世界のバリスタも味に納得！極上のアイスコーヒーをご自宅で,https://www.makuake.com/project/mico_ice_pro/?from=keywordsearch&keyword=%E3%82%A2%E3%82%A4%E3%82%B9&disp_order=3,https://hayabusa.io/makuake/upload/project/26662/main_26662.jpg?width=252&height=142&quality=95&version=1656298883&format=auto&ttl=31536000&mode=eco
4,261%,"261,200円",老舗料理店が育てた葛餅職人の新たな挑戦！新食感葛餅スイーツと葛餅アイスをお届け,https://www.makuake.com/project/a_sweets_factory/?from=keywordsearch&keyword=%E3%82%A2%E3%82%A4%E3%82%B9&disp_order=4,https://hayabusa.io/makuake/upload/project/26713/main_26713.png?width=252&height=142&quality=95&version=1656637192&format=auto&ttl=31536000&mode=eco
5,142%,"426,720円",【新発想の三層構造枕】ポンプ機能で湿気と熱を逃して快適な眠りの時間へ誘います,https://www.makuake.com/project/cototomono/?from=keywordsearch&keyword=%E3%82%A2%E3%82%A4%E3%82%B9&disp_order=5,https://hayabusa.io/makuake/upload/project/26360/main_26360.jpg?width=252&height=142&quality=95&version=1655168387&format=auto&ttl=31536000&mode=eco
6,1207%,"1,207,750円",2種類のブランドいちごを贅沢に使用！ひんやり甘ずっぱい和菓子あいす,https://www.makuake.com/project/nakatsugawa_ichinose2/?from=keywordsearch&keyword=%E3%82%A2%E3%82%A4%E3%82%B9&disp_order=6,https://hayabusa.io/makuake/upload/project/26858/main_26858.png?width=252&height=142&quality=95&version=1656825254&format=auto&ttl=31536000&mode=eco
7,26%,"76,000円",【2万円のアイス】甘く酔える大人のアイス・超高級スコッチウィスキーミルクアイス,https://www.makuake.com/project/yumebokujo/?from=keywordsearch&keyword=%E3%82%A2%E3%82%A4%E3%82%B9&disp_order=7,https://hayabusa.io/makuake/upload/project/3860/main_3860.jpg?width=252&height=142&quality=95&version=1519354028&format=auto&ttl=31536000&mode=eco
8,185%,"185,500円",アイスへの考え方が変わる。北海道発！「菊芋」アイスが遂に完成！,https://www.makuake.com/project/kikuimo-ice/?from=keywordsearch&keyword=%E3%82%A2%E3%82%A4%E3%82%B9&disp_order=8,https://hayabusa.io/makuake/upload/project/24719/main_24719.jpg?width=252&height=142&quality=95&version=1650506413&format=auto&ttl=31536000&mode=eco
9,13%,"150,660円",大人の淡路島アイス｜独特の“香り・酸味・苦み”の淡路島なるとオレンジアイス。,https://www.makuake.com/project/awaji_ice_orange/?from=keywordsearch&keyword=%E3%82%A2%E3%82%A4%E3%82%B9&disp_order=9,https://hayabusa.io/makuake/upload/project/17371/main_17371.png?width=252&height=142&quality=95&version=1627696849&format=auto&ttl=31536000&mode=eco
10,330%,"1,653,000円",贅沢すぎる！【限定400セット】　赤アイスワインと白アイスワインのペアセット！,https://www.makuake.com/project/his-canada-peller/?from=keywordsearch&keyword=%E3%82%A2%E3%82%A4%E3%82%B9&disp_order=10,https://hayabusa.io/makuake/upload/project/24433/main_24433.jpg?width=252&height=142&quality=95&version=1650938419&format=auto&ttl=31536000&mode=eco
