No,達成率,商品説明,値段,画像URL
1,755%,"2,266,400円",https://hayabusa.io/makuake/upload/project/26419/main_26419.jpg?width=252&height=142&quality=95&version=1655269203&format=auto&ttl=31536000&mode=eco,【オザキプリーツ】匠の技４ 手仕事の技が生むスッキリ細見え、洗えるプリーツシャツ
2,0%,0円,https://hayabusa.io/makuake/upload/project/26235/main_26235.jpg?width=252&height=142&quality=95&version=1654826516&format=auto&ttl=31536000&mode=eco,創業75年のタオル屋考案！綿100％で肌をやさしく包み込むこだわりのガーゼシャツ
3,1002%,"3,008,910円",https://hayabusa.io/makuake/upload/project/26010/main_26010.jpg?width=252&height=142&quality=95&version=1653616911&format=auto&ttl=31536000&mode=eco,仕事も遊びも一枚で。自分好みの丈が選べる、自然素材で着心地の良いデイリーシャツ
4,279%,"559,746円",https://hayabusa.io/makuake/upload/project/5976/main_5976.jpg?width=252&height=142&quality=95&version=1554775207&format=auto&ttl=31536000&mode=eco,スポーツ科学から生まれた「Yシャツ×アスリート体型」コンプレッションYシャツ !
5,515%,"5,153,300円",https://hayabusa.io/makuake/upload/project/2042/main_2042.jpg?width=252&height=142&quality=95&version=1493630581&format=auto&ttl=31536000&mode=eco,シャツの概念を変える、永久ストレッチのオーダーメイドシャツ「KEI（ケイ）」
6,234%,"704,653円",https://hayabusa.io/makuake/upload/project/6901/main_6901.jpg?width=252&height=142&quality=95&version=1567216863&format=auto&ttl=31536000&mode=eco,シャツの見栄えは生地とサイズ感。高級生地オーダーシャツが5000円SuitYa
7,9%,"148,800円",https://hayabusa.io/makuake/upload/project/13701/main_13701.png?width=252&height=142&quality=95&version=1611972021&format=auto&ttl=31536000&mode=eco,こんな白シャツが欲しかった！抗ウィルス新技術を採用した超ハイテクシャツ
8,35%,"105,700円",https://hayabusa.io/makuake/upload/project/9846/main_9846.jpg?width=252&height=142&quality=95&version=1592618603&format=auto&ttl=31536000&mode=eco,抗菌・抗ウイルス仕様。繊維の老舗が作ったプロテクトするシャツ「抗ウイルスシャツ」
9,1%,"10,692円",https://hayabusa.io/makuake/upload/project/3993/main_3993.jpg?width=252&height=142&quality=95&version=1522056325&format=auto&ttl=31536000&mode=eco,創業65年のシャツ専業ファクトリーが作る国産カスタムオーダーシャツ「土井縫工所」
10,149%,"599,940円",https://hayabusa.io/makuake/upload/project/15080/main_15080.png?width=252&height=142&quality=95&version=1618279207&format=auto&ttl=31536000&mode=eco,【HITOYOSHIシャツ】 大人のためのえり付ワンマイルウェア
11,221%,"663,960円",https://hayabusa.io/makuake/upload/project/14386/main_14386.png?width=252&height=142&quality=95&version=1614304883&format=auto&ttl=31536000&mode=eco,【HITOYOSHIアクティブシャツ】日本のシャツファクトリーの新たな挑戦
12,126%,"631,700円",https://hayabusa.io/makuake/upload/project/17199/main_17199.jpg?width=252&height=142&quality=95&version=1625450408&format=auto&ttl=31536000&mode=eco,【身近に参加！アートプロジェクト】アーティストとのコラボによるTシャツ＆シャツ
13,252%,"757,000円",https://hayabusa.io/makuake/upload/project/14854/main_14854.png?width=252&height=142&quality=95&version=1616637606&format=auto&ttl=31536000&mode=eco,Tシャツのような感覚。テレワークにも最適！オーガニックコットンのリラックスシャツ
14,17%,"88,000円",https://hayabusa.io/makuake/upload/project/8747/main_8747.png?width=252&height=142&quality=95&version=1584496864&format=auto&ttl=31536000&mode=eco,《イッテンモノの量産!? 》グラデーションブリーチ クレイジーパターン着物シャツ
15,580%,"580,781円",https://hayabusa.io/makuake/upload/project/7815/main_7815.png?width=252&height=142&quality=95&version=1575079278&format=auto&ttl=31536000&mode=eco,"シャツがズレない！はみ出さない「キレイ」が続く下着""Smart pants”"
